Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
67,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
68,5,Lying/resting (stationary),Background,Adult,{},{},[65399.67496263236;44977.68076916039;-22144.015336960554]
68,0,Foraging,Foraging,Adult,{1},{1},[8618.74268370308;30573.975335668772;-13694.721872324124]
68,1,Foraging,Foraging,Adult,{0},{0},[7333.050392944366;32993.38054283336;-11647.256975892]
68,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
69,5,Lying/resting (stationary),Background,Adult,{},{},[65399.67496263236;44977.68076916039;-22144.015336960554]
69,0,Foraging,Foraging,Adult,{},{},[8618.74268370308;30573.975335668772;-13694.721872324124]
69,1,Foraging,Waiting Area,Adult,{},{},[9665.991347325034;43043.217555351555;-13675.726997218095]
69,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
70,5,Moving,Background,Adult,{},{},[66140.32145750523;45034.86950802803;-21976.033383607864]
70,0,Foraging,Foraging,Adult,{},{},[8662.243250504136;30587.09369394183;-13708.767338886857]
70,1,Foraging,Waiting Area,Adult,{},{},[9763.089583122171;43156.00950224325;-13552.87759431731]
70,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
71,0,Foraging,Foraging,Adult,{},{},[8702.777150738053;30588.07432820089;-13715.888185134158]
71,1,Moving,Waiting Area,Adult,{},{},[10980.90224416554;43024.643107026815;-12699.009140394628]
71,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
72,0,Foraging,Foraging,Adult,{},{},[8742.910104572773;30586.471901014447;-13723.333403006196]
72,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
73,0,Foraging,Foraging,Adult,{},{},[8783.353437099606;30586.342991419137;-13729.946271941066]
73,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
74,0,Foraging,Foraging,Adult,{},{},[8783.353437099606;30586.342991419137;-13729.946271941066]
74,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
75,0,Foraging,Foraging,Adult,{},{},[8821.207965623587;30579.512818917632;-13735.038243222982]
75,3,Lying/resting (stationary),Background,Adult,{},{},[36036.150211177766;38662.458844825625;-28765.61408514902]
76,0,Foraging,Foraging,Adult,{},{},[8821.207965623587;30579.512818917632;-13735.038243222982]
76,3,Lying/resting (stationary),Background,Adult,{},{},[36036.150211177766;38662.458844825625;-28765.61408514902]
77,0,Foraging,Foraging,Adult,{},{},[8857.633110419847;30566.357466552407;-13736.029979526065]
77,3,Lying/resting (stationary),Background,Adult,{},{},[36036.150211177766;38662.458844825625;-28765.61408514902]
