Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
40,0,Moving,Sand Area,Adult,{13},{13}
40,7,None,Around Mound,Pup,{6;11;8},{10;8;3;6;11}
40,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
40,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;10;7}
40,8,None,Around Mound,Pup,{7;11},{6;10;7;11}
41,6,None,Around Mound,Pup,{7},{10;8;3;7;11}
41,10,Dig burrow,Sand Area,Adult,{},{6;3;7}
41,11,Sunbathe,Around Mound,Adult,{7;8},{6;7;8}
41,12,Dig burrow,Sand Area,Adult,{},{}
41,13,Dig burrow,Sand Area,Adult,{},{0}
41,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{13}
41,7,None,Around Mound,Pup,{6;11;8},{10;8;3;6;11}
41,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
41,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;10;7}
41,8,None,Around Mound,Pup,{7;11},{6;7;11}
42,6,None,Around Mound,Pup,{7},{7;11;8}
42,10,Dig burrow,Sand Area,Adult,{},{13;0}
42,11,Sunbathe,Around Mound,Adult,{7;8},{6;7;8}
42,12,Dig burrow,Sand Area,Adult,{},{}
42,13,Moving,Sand Area,Adult,{},{10;0}
42,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10;13}
42,7,None,Around Mound,Pup,{6;11;8},{6;11;8}
42,14,Moving,Around Mound,Adult,{},{}
42,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
42,8,None,Around Mound,Pup,{7;11},{6;7;11}
43,6,None,Around Mound,Pup,{7},{7;11;8}
43,10,Dig burrow,Sand Area,Adult,{},{0}
43,11,Sunbathe,Around Mound,Adult,{7;8},{6;14;7;8}
43,12,Dig burrow,Sand Area,Adult,{},{13}
43,13,Dig burrow,Sand Area,Adult,{},{12}
43,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
43,7,None,Around Mound,Pup,{6;11;8},{6;14;11;8}
43,14,Moving,Around Mound,Adult,{},{7;11;8}
43,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
43,8,None,Around Mound,Pup,{7;11},{6;14;7;11}
44,6,None,Around Mound,Pup,{7},{3;7;11;8}
44,10,Dig burrow,Sand Area,Adult,{},{3;0}
44,11,Sunbathe,Around Mound,Adult,{7;8},{6;14;7;8}
44,12,Dig burrow,Sand Area,Adult,{},{13}
44,13,Dig burrow,Sand Area,Adult,{},{12}
44,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
44,7,None,Around Mound,Pup,{6;11;8},{8;3;6;14;11}
44,14,Moving,Left Sticks Area,Adult,{8},{7;11;8}
44,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
44,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;10;7}
44,8,None,Around Mound,Pup,{14;7;11},{6;14;7;11}
45,6,None,Around Mound,Pup,{7},{7;8;3;14;11}
45,10,Dig burrow,Sand Area,Adult,{},{3;0}
45,11,Groom,Around Mound,Adult,{14;7;8},{6;14;7;8}
45,12,Dig burrow,Sand Area,Adult,{},{}
45,13,Dig burrow,Sand Area,Adult,{},{}
45,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{10}
45,7,None,Around Mound,Pup,{6;11;8},{8;3;6;14;11}
