Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
470,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;70;65}
470,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
470,65,Foraging,Foraging,{68;70},{71;66;68;70;69;62;60}
470,66,Foraging,Foraging,{71;62;69},{71;70;68;69;62;60;65}
470,68,Foraging,Waiting Area,{70;65},{71;66;70;69;62;60;65}
470,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
470,70,Foraging,Waiting Area,{68;65},{71;66;68;69;62;60;65}
470,71,Interacting with foreign object,Foraging,{66;62;69;60},{66;68;70;69;62;60;65}
471,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;70;65}
471,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
471,65,Foraging,Foraging,{68;70},{71;66;68;70;69;62;60}
471,66,Foraging,Foraging,{71;62;69},{71;70;68;69;62;60;65}
471,68,Foraging,Waiting Area,{70;65},{71;66;70;69;62;60;65}
471,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
471,70,Foraging,Waiting Area,{68;65},{71;66;68;69;62;60;65}
471,71,Interacting with foreign object,Foraging,{66;62;69;60},{66;68;70;69;62;60;65}
472,60,Foraging,Foraging,{62;69},{71;66;68;69;62;70;65}
472,62,Foraging,Foraging,{66;69;60},{71;66;68;70;69;60;65}
472,65,Foraging,Foraging,{71;68;70},{71;66;68;70;69;62;60}
472,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
472,68,Foraging,Waiting Area,{71;70;65},{71;66;70;69;62;60;65}
472,69,Interacting with foreign object,Foraging,{66;62;60},{71;66;68;70;62;60;65}
472,70,Foraging,Waiting Area,{71;68;65},{71;66;68;69;62;60;65}
472,71,Interacting with foreign object,Foraging,{68;70;65},{66;68;70;69;62;60;65}
473,60,Foraging,Foraging,{62;69},{71;66;68;69;62;70;65}
473,62,Foraging,Foraging,{66;69;60},{71;66;68;70;69;60;65}
473,65,Foraging,Foraging,{71;68;70},{71;66;68;70;69;62;60}
473,66,Foraging,Foraging,{62;69},{71;70;68;69;62;60;65}
473,68,Foraging,Waiting Area,{71;70;65},{71;66;70;69;62;60;65}
473,69,Interacting with foreign object,Foraging,{66;62;60},{71;66;68;70;62;60;65}
473,70,Foraging,Foraging,{68;65},{71;66;68;69;62;60;65}
473,71,Interacting with foreign object,Foraging,{68;65},{66;68;70;69;62;60;65}
474,60,Foraging,Foraging,{62;69},{71;66;68;69;62;70;65}
474,62,Foraging,Foraging,{66;69;60},{71;66;68;70;69;60;65}
474,65,Foraging,Foraging,{71;68;70},{71;66;68;70;69;62;60}
474,66,Foraging,Foraging,{70;62;69},{71;70;68;69;62;60;65}
474,68,Foraging,Waiting Area,{71;70;65},{71;66;70;69;62;60;65}
474,69,Interacting with foreign object,Foraging,{66;62;60},{71;66;68;70;62;60;65}
474,70,Foraging,Foraging,{66;68;65},{71;66;68;69;62;60;65}
474,71,Interacting with foreign object,Foraging,{68;65},{66;68;70;69;62;60;65}
475,60,Interacting with foreign object,Foraging,{62;69},{71;66;68;69;62;70;65}
475,62,Foraging,Foraging,{66;69;60},{71;66;68;70;69;60;65}
475,65,Foraging,Foraging,{71;68},{71;66;68;70;69;62;60}
475,66,Foraging,Foraging,{70;62;69},{71;70;68;69;62;60;65}
475,68,Foraging,Waiting Area,{71;70;65},{71;66;70;69;62;60;65}
475,69,Interacting with foreign object,Foraging,{66;62;60},{71;66;68;70;62;60;65}
475,70,Foraging,Foraging,{66;68},{71;66;68;69;62;60;65}
475,71,Interacting with foreign object,Foraging,{68;65},{66;68;70;69;62;60;65}
476,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;70;65}
476,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
476,65,Foraging,Foraging,{68},{71;66;68;70;69;62;60}
